resp_ind,industry,product_id,channel,reason_id
0,Community Work (Medical),OCHC30212,SKNV,1
0,Community Work,OCHC40413,SEO,1
0,Community (Medical),OBSB31115,SEMG,1
0,Business and Accounting,BA-BUSMGT4,SEO,1
0,Events+Hospitality,WB11VDIH1FDEU,SEMG,1
0,IT,CTNET14,SEO,1
0,Events+Hospitality,WB11ADBTM01FNSU,SKLM,1
0,Education (Strategic TESOL),TC4,EDM,1
0,Not assigned,#,SEMG,1
0,Counselling,DOCO,EDM,1
0,Events+Hospitality,OSIT30713,SKLM,1
0,Community (Medical),OBSB31115,SKLM,1
0,IT,CERPAP,SEO,1
0,Business (Strategic HR),CERTIVFMB,SEO,1
0,Education (Strategic TESOL),TPD,SEO,1
0,TESOL,A300S,SKLM,1
0,Business and Accounting,OFNS40611,DIRECT,1
0,Community Work,OCHC40708,SEO,1
0,Work Health Safety (Property),OBSB51312,SEMG,1
0,Community Work,OCHC50413,SEMG,1
0,Community Work (Medical),OCHC30212,SEMG,1
0,Construction,OCPC50210,SEMG,1
0,Business (Strategic HR),DFP1-4,SKNV,1
0,Construction,OCPC50210,SEMG,1
0,Marketing,BA-BUSMKT5,NON-CORE,1
0,Design,DIDDFT,DSPP,1
0,Community Work,OCHC40512,SEMG,1
0,Not assigned,#,DSPP,1
0,Business (Strategic HR),CERTIVFMB,DSPP,1
0,IT,OSQLCE,SKLM,1
0,Education (Strategic TESOL),TPD,SEMG,1
0,Education,OCHC30113,SEMG,1
0,Logistics,S461S,SKLM,1
0,Marketing,OBSB51915-DP-OBSB51215-DP,SKNV,1
0,Construction,OCPC50210,SEMG,1
0,IT,OICA50111,SEO,1
0,Natural Health,DHSPTU,SKNV,1
0,Education,OCHC30113,SEMB,1
0,Construction,OCPC50210,SEO,1
0,HR,BA-BUSLSC2,DIRECT,1
0,Education (Strategic TESOL),TPC,SEMG,1
0,Community Work (Medical),OCHC30408,SKNV,1
0,IT,MCTSSQLDD,DIRECT,1
0,Business and Accounting,OFNS40211,SEO,1
0,Property,OCPP40307,SKNV,1
0,Arts (Arts team),CUV50407,SKLM,1
0,Education,OCHC50113,SEO,1
0,Work Health Safety (Property),OBSB51312,SKLM,1
0,Natural Health,ADNMFT,DIRECT,1
0,Community Work (Medical),OCHC30408,SKNV,1
0,Community Work,OCHC50612,SKLM,1
0,Work Health Safety (Property),OBSB41412,SKLM,1
0,Events+Hospitality,WB11BABEM01FNSU,SEO,1
0,Community Work (Medical),OCHC30212,SEO,1
0,Not assigned,#,SKLM,1
0,Business and Accounting,OBSB40407,DIRECT,1
0,IT,CERPSCM,SKLM,1
0,Counselling,DOCO,SEMB,1
0,Education,BA-EDUEC2,SEO,1
0,Construction,OCPC50210,SEMG,1
0,Business (Strategic HR),DFP1-4,SKLM,1
0,Finance,ADFP5-8,DIRECT,1
0,Business and Accounting,OFNS50215,SEMG,1
0,Construction,OCPC40110,SKLM,1
0,Community Work,BACST1DEFH,DIRECT,1
0,IT,CAPM,SEO,1
0,IT,PMP,SEO,1
0,Counselling,DOCO,EDM,1
0,Marketing,OBSB40107,SEMG,1
0,Natural Health,DBTRFTBN,SEMB,1
0,Counselling,DOCO,SEMG,1
0,Admin,OBSB20115,SKLM,1
0,Community Work,OCHC40512,SEO,1
0,Business and Accounting,OFNS30311,SK_OTHER,1
0,Admin,OBSB20112,SEO,1
0,Not assigned,#,SKLM,1
0,Education,OCHC50113,NON-CORE,1
0,Property,OCPP50307,DIRECT,1
0,Counselling,DOCO,DIRECT,1
0,Events & Hospitality (Strategic TESOL),OSIT31312,SKLM,1
0,Not assigned,#,SEMG,1
0,Business and Accounting,OBSB40407,SEO,1
0,Community Work,OCHC50612,DIRECT,1
0,Construction,OCPC50210,DIRECT,1
0,Education,BA-EDUPRI,SEMG,1
0,Education (Strategic HR),OTAE40110,SKLM,1
0,Construction,OCPC40110,SEO,1
0,Admin,BA-BUSBAD3,SKLM,1
0,Education,BA-EDUEC2,SEMG,1
0,Business and Accounting,OBSB20112,SKLM,1
0,Not assigned,#,SKNV,1
0,Not assigned,#,SKLM,1
0,IT,TFIN5E,SEO,1
0,IT,MTA98-364,SKNV,1
1,Counselling,DOCO,SEMG,1
1,IT,OICA50111,SKLM,1
0,Business and Accounting,OBSB51915,SEO,1
0,Education,GD-TEAPRI2,SEMG,1
0,Community (Medical),OBSB31115,SK_OTHER,1
0,Business and Accounting,OFNS30311,SKLM,1
0,Property,KNSWLP,SEO,1
0,HR,OBSB40812,EDM,1
0,Construction,OCPC50210,SEMG,1
0,Business and Accounting,OHLT32512,EDM,1
0,Business and Accounting,BA-BUSACC5,SEO,1
0,TESOL,M348S,SKNV,1
0,Education,OCHC30113,SKNV,1
0,HR,OBSB41013,SEO,1
0,Community Work,OCHC50612,SKLM,1
0,Not assigned,#,SEMG,1
0,Business and Accounting,OBSB51915,SKLM,1
0,Construction,OCPC50210,SKLM,1
0,Community Work (Medical),OCHC30312,SEO,1
0,Business and Accounting,OFNS40211,SEMG,1
0,Not assigned,#,DIRECT,1
0,HR,BA-BUSLSC2,DIRECT,1
0,Business and Accounting,OFNS50215,SEO,1
0,Events+Hospitality,WBDBHMICFU,SEO,1
0,Community Work,DOCSCM,SEMG,1
0,Business and Accounting,OBSB40407,SKNV,1
0,Business (Strategic HR),CERTIVFMB,DIRECT,1
0,Not assigned,#,SEMG,1
0,Education (Strategic HR),OTAE40110,SKLM,1
0,Events+Hospitality,WB11VDIH1FDEU,SKNV,1
0,Counselling,BCOUNS,SEO,1
0,Education,OCHC30113,SEMG,1
0,IT,CCNA,SKLM,1
0,Natural Health,ADNMFT,SEO,1
1,Education,OCHC50113,SEO,1
0,Community Work,OCHC40413,SEMG,1
0,Admin,SLBSB50415,SEMG,1
0,Business and Accounting,SLBSB51915,SEMB,1
0,Business and Accounting,BA-BUSMGT4,SKLM,1
0,IT,MCTSSQLDD,SKLM,1
0,Community Work,OCHC50612,SEO,1
0,Business (Property),OAHC50110,SKLM,1
0,Community Work (Medical),OCHC30212,NON-CORE,1
0,Education,OCHC30113,SKLM,1
0,Admin,OBSB31015,DIRECT,1
0,Not assigned,#,DIRECT,1
0,Design,DGDFT,SKLM,1
0,Construction,OCPC40110-OCPC40308,SKLM,1
0,HR,OBSB50615,SEO,1
0,Business (Strategic HR),DFP1-4,SEO,1
0,Education,OCHC30113,SKLM,1
0,Community Work,OCHC40413,SEMG,1
0,Community (Medical),OBSB31115,SEO,1
0,Community Work,OCHC50612,SEO,1
0,Natural Health,DBTRFTBN,SKLM,1
0,Education,GD-TEAPRI2,SKNV,1
0,IT,CCNA,SEO,1
0,Business (Strategic HR),CERTIVFMB,SKLM,1
0,Construction,OCPC50210,SEO,1
0,Education,OCHC50113,SEMG,1
0,Community Work,OCHC50612,SEO,1
0,Community Work,OCHC40708,SKLM,1
0,Community Work (Medical),OCHC30212,SEO,1
0,Education (Strategic HR),OTAE40110,SKNV,1
0,Community Work (Medical),OCHC30212,SEO,1
0,Education,OCHC50113,DSPP,1
0,Education,OCHC40213,SEMG,1
0,Not assigned,#,SKLM,1
0,Law,BA-SSSCT,SKLM,1
0,Community Work (Medical),OCHC30212,DIRECT,1
0,Arts (Arts team),CDPPTDEU,DSPP,1
0,Business and Accounting,OFNS40211,SKNV,1
0,Community Work,OCHC40413,DIRECT,1
0,Design,DGDFT,SEO,1
0,Not assigned,#,SEO,1
0,Community (Medical),OBSB30415-OBSB31115,EDM,1
0,Education,OCHC30113,SEO,1
0,Law (Community),BA-SSCCRI,SKLM,1
0,Not assigned,#,SEMG,1
0,Community Work,OCHC50612,SEO,1
1,Community (Medical),OHLT32912,EDM,1
0,Natural Health,ADNMFT,SEMG,1
0,Business and Accounting,SLBSB50215,DIRECT,1
0,Education,BA-EDUPRI,SEO,1
0,Property,KACTCR,SEO,1
0,Business and Accounting,OFNS30311,SEO,1
0,Events & Hospitality (Strategic TESOL),OSIT31312,SEO,1
0,Marketing,BA-BUSMKT5,SEMG,1
0,Community Work (Medical),OCHC30212,YAHO,1
0,Community Work,DOCSCM,SEMG,1
0,Events+Hospitality,WBDBEMICFU,SKLM,1
0,Community (Medical),OBSB30415-OBSB31115,DIRECT,1
0,Natural Health,DHSPTU,SEMG,1
0,Marketing,OBSB51915-DP-OBSB51215-DP,NON-CORE,1
0,Work Health Safety (Property),OBSB41412,DIRECT,1
0,Natural Health,DBTRFTBN,SEO,1
0,Not assigned,#,SKLM,1
0,Counselling,DCODEFTU,SEMG,1
0,Education,OCHC30213,SKLM,1
0,Community Work,OCHC40512,SEMG,1
0,Community Work (Medical),OCHC30212,SKNV,1
0,Community Work (Medical),OCHC30312,SEMG,1
0,Construction,OCPC50210,DIRECT,1
0,Admin,OBSB40515,DIRECT,1
0,Events & Hospitality (Strategic TESOL),OSIT50112,SEO,1
0,Business and Accounting,OFNS50215,SEO,1
0,Property,OCPP30211,DIRECT,1
0,HR,BA-BUSLSC2,SEMG,1
0,Property,OCPP50307,SKNV,1
0,Admin,OBSB50415,DIRECT,1
0,Business and Accounting,OFNS50215,SEO,1
0,Education,OCHC50113,SEMG,1
0,Business and Accounting,OBSB40407,SEO,1
0,Counselling,DOCO,SEO,1
0,Community Work (Medical),OCHC30212,SEO,1
0,Design,DIDDFT,YAHO,1
0,Education (Strategic TESOL),TC4,SEO,1
0,Business and Accounting,OFNS30311,DIRECT,1
0,Business (Strategic HR),CERTIVFMB,SEMG,1
0,Education,OCHC30113,SEMG,1
0,Community Work,OCHC50413,SEMG,1
0,IT,CERPAP,SKLM,1
0,Business and Accounting,OBSB40407,DIRECT,1
0,Business and Accounting,OBSB50207,SEO,1
0,Community Work,OCHC50612,DIRECT,1
0,IT,CERPSCM,SKLM,1
0,IT,MCTSNET4WA,SEMB,1
0,Community (Medical),#,SEO,1
0,Business and Accounting,OSIR30212,DIRECT,1
0,Community Work (Medical),OCHC30212,SKLM,1
0,Construction,OCPC40110-OCPC40308,EDM,1
0,Design,BADM3DAFTU,DIRECT,1
0,Community Work,OCHC50612,SEO,1
0,Education (Strategic TESOL),TC4,SEO,1
0,Community Work (Medical),OCHC30212,SKNV,1
